[af.rf_info]: [273]
[init.svc.thermal_manager]: [stopped]
[init.svc.ueventd]: [running]
[init.svc.vold]: [running]
[init.svc.wifi2agps]: [running]
[init.svc.wmtLoader]: [stopped]
[init.svc.zygote]: [running]
[init.svc.zygote_secondary]: [running]
[keyguard.no_require_sim]: [true]
[log.tag.WifiHAL]: [D]
[logd.logpersistd.enable]: [true]
[media.sf.extractor-plugin]: [libffmpeg_extractor.so]
[media.sf.omx-plugin]: [libffmpeg_omx.so]
[media.stagefright.legacyencoder]: [true]
[media.stagefright.less-secure]: [true]
[mediatek.wlan.chip]: [CONSYS_MT6735]
[mediatek.wlan.ctia]: [0]
[mediatek.wlan.module.postfix]: [_consys_mt6735]
[mtk.md1.starttime]: [1s Mon Aug 17 10:44:51 2026
]
[mtk.md1.status]: [ready]
[net.bt.name]: [Android]
[net.change]: [net.qtaguid_enabled]
[net.hostname]: [android-5dbbbefedf42ed67]
[net.qtaguid_enabled]: [1]
[net.tcp.default_init_rwnd]: [60]
[net.tcp.delack.default]: [1]
[net.tcp.delack.lte]: [8]
[net.tcp.delack.wifi]: [20]
[net.tcp.usercfg.default]: [0]
[net.tcp.usercfg.lte]: [1]
[net.tcp.usercfg.wifi]: [1]
[net.tethering.noprovisioning]: [true]
[persist.gemini.sim_num]: [2]
[persist.mtk.combo.coredump]: [no]
[persist.mtk.wcn.combo.chipid]: [0x0335]
[persist.mtk.wcn.fwlog.status]: [0]
[persist.radio.airplane.mode.on]: [false]
[persist.radio.default.sim]: [0]
[persist.radio.fd.counter]: [15]
[persist.radio.fd.off.counter]: [5]
[persist.radio.fd.off.r8.counter]: [5]
[persist.radio.fd.r8.counter]: [15]
[persist.radio.ia]: []
[persist.radio.ia-apn]: []
[persist.radio.mobile.data]: [0,0]
[persist.radio.multisim.config]: [dsds]
[persist.radio.simswitch]: [1]
[persist.service.acm.enable]: [0]
[persist.service.adb.enable]: [1]
[persist.service.bdroid.bdaddr]: [22:22:af:f6:76:58]
[persist.sys.adb.shell]: [/system/bin/sh]
[persist.sys.dalvik.vm.lib.2]: [libart.so]
[persist.sys.display.clearMotion]: [0]
[persist.sys.dun.override]: [0]
[persist.sys.pq.adl.idx]: [0]
[persist.sys.pq.shp.idx]: [2]
[persist.sys.profiler_ms]: [0]
[persist.sys.usb.config]: [adb]
[persist.sys.webview.vmsize]: [249178288]
[pm.dexopt.ab-ota]: [speed-profile]
[pm.dexopt.bg-dexopt]: [speed-profile]
[pm.dexopt.boot]: [verify-profile]
[pm.dexopt.core-app]: [speed]
[pm.dexopt.first-boot]: [interpret-only]
[pm.dexopt.forced-dexopt]: [speed]
[pm.dexopt.install]: [interpret-only]
[pm.dexopt.nsys-library]: [speed]
[pm.dexopt.shared-apk]: [speed]
[qemu.hw.mainkeys]: [1]
[ril.active.md]: [5]
[ril.cdma.switching]: [0]
[ril.current.share_modem]: [2]
[ril.ecc.service.category.list]: []
[ril.ecc.service.category.list.1]: []
[ril.ecclist]: []
[ril.ecclist1]: []
[ril.external.md]: [0]
[ril.fd.mode]: [1]
[ril.flightmode.poweroffMD]: [1]
[ril.ia.iccid]: []
[ril.iccid.sim1]: [N/A]
[ril.iccid.sim2]: [N/A]
[ril.ipo.radiooff]: [0]
[ril.ipo.radiooff.2]: [0]
[ril.mux.ee.md1]: [0]
[ril.mux.report.case]: [0]
[ril.pid.1]: [774]
[ril.radio.ia]: []
[ril.radio.ia-apn]: []
[ril.radiooff.poweroffMD]: [0]
[ril.ready.sim]: [false]
[ril.specific.sm_cause]: [0]
[ril.telephony.mode]: [0]
[rild.libargs]: [-d /dev/ttyC0]
[rild.libpath]: [/system/lib64/mtk-ril.so]
[ro.adb.secure]: [0]
[ro.allow.mock.location]: [1]
[ro.audio.silent]: [0]
[ro.baseband]: [unknown]
[ro.board.platform]: [mt6737m]
[ro.boot.bootreason]: [wdt_by_pass_pwk]
[ro.boot.cus_color]: [M710E]
[ro.boot.cus_param]: [0x71051002]
[ro.boot.hardware]: [mt6735]
[ro.boot.mode]: [normal]
[ro.boot.selinux]: [permissive]
[ro.boot.serialno]: [710HVBR923RYK]
[ro.bootimage.build.date]: [Mon Jun 15 14:53:49 UTC 2026]
[ro.bootimage.build.date.utc]: [1781535229]
[ro.bootimage.build.fingerprint]: [meizu/lineage_m5c/m5c:7.1.2/NJH47F/1e12cbe1dc:userdebug/test-keys]
[ro.bootloader]: [unknown]
[ro.bootmode]: [normal]
[ro.build.characteristics]: [default]
[ro.build.date]: [Mon Jun 15 14:53:49 UTC 2026]
[ro.build.date.utc]: [1781535229]
[ro.build.description]: [lineage_m5c-userdebug 7.1.2 NJH47F 1e12cbe1dc test-keys]
[ro.build.display.id]: [lineage_m5c-userdebug 7.1.2 NJH47F 1e12cbe1dc test-keys]
[ro.build.fingerprint]: [meizu/lineage_m5c/m5c:7.1.2/NJH47F/1e12cbe1dc:userdebug/test-keys]
[ro.build.flavor]: [lineage_m5c-userdebug]
[ro.build.host]: [a91fe7fe22eb]
[ro.build.id]: [NJH47F]
[ro.build.product]: [m5c]
[ro.build.selinux]: [1]
[ro.build.tags]: [test-keys]
[ro.build.type]: [userdebug]
[ro.build.user]: [forge]
[ro.build.version.all_codenames]: [REL]
[ro.build.version.base_os]: []
[ro.build.version.codename]: [REL]
[ro.build.version.incremental]: [1e12cbe1dc]
[ro.build.version.preview_sdk]: [0]
[ro.build.version.release]: [7.1.2]
[ro.build.version.sdk]: [25]
[ro.build.version.security_patch]: [2021-06-05]
[ro.camera.disable_zsl_mode]: [1]
[ro.camera.sound.forced]: [0]
[ro.carrier]: [unknown]
[ro.cm.build.version]: [14.1]
[ro.cm.build.version.plat.rev]: [0]
[ro.cm.build.version.plat.sdk]: [7]
[ro.cm.device]: [m5c]
[ro.cm.display.version]: [14.1-20260615-UNOFFICIAL-m5c]
[ro.cm.releasetype]: [UNOFFICIAL]
[ro.cm.version]: [14.1-20260615-UNOFFICIAL-m5c]
[ro.cmlegal.url]: [https://lineageos.org/legal]
[ro.com.android.mobiledata]: [false]
[ro.com.google.clientidbase]: [android-google]
[ro.config.alarm_alert]: [Hassium.ogg]
[ro.config.notification_sound]: [Argon.ogg]
[ro.config.ringtone]: [Orion.ogg]
[ro.crypto.fs_crypto_blkdev]: [/dev/block/dm-0]
[ro.crypto.state]: [encrypted]
[ro.crypto.type]: [block]
[ro.dalvik.vm.native.bridge]: [0]
[ro.debuggable]: [1]
[ro.device.cache_dir]: [/cache]
[ro.expect.recovery_id]: [0xc74adc964f8d59677abdcada93fb6cc7f4cc605b000000000000000000000000]
[ro.gemini.smart_sim_switch]: [false]
[ro.hardware]: [mt6735]
[ro.hwui.drop_shadow_cache_size]: [6]
[ro.hwui.gradient_cache_size]: [1]
[ro.hwui.layer_cache_size]: [48]
[ro.hwui.path_cache_size]: [32]
[ro.hwui.r_buffer_cache_size]: [8]
[ro.hwui.text_large_cache_height]: [1024]
[ro.hwui.text_large_cache_width]: [2048]
[ro.hwui.text_small_cache_height]: [1024]
[ro.hwui.text_small_cache_width]: [1024]
[ro.hwui.texture_cache_flushrate]: [0.4]
[ro.hwui.texture_cache_size]: [72]
[ro.kernel.android.checkjni]: [0]
[ro.kernel.zio]: [38,108,105,16]
[ro.mediatek.chip_ver]: [S01]
[ro.mediatek.platform]: [MT6737M]
[ro.mediatek.version.release]: [ZAL856_999A_V0_0_5_BSP_20170605]
[ro.mediatek.version.sdk]: [4]
[ro.mediatek.wlan.p2p]: [1]
[ro.mediatek.wlan.wsc]: [1]
[ro.meizu.product.model]: [M5c]
[ro.meizu.project.id]: [m1710-5]
[ro.modversion]: [14.1-20260615-UNOFFICIAL-m5c]
[ro.mount.fs]: [EXT4]
[ro.mtk_agps_app]: [1]
[ro.mtk_audio_ape_support]: [1]
[ro.mtk_audio_tuning_tool_ver]: [V1]
[ro.mtk_bt_support]: [1]
[ro.mtk_cta_drm_support]: [1]
[ro.mtk_enable_md1]: [1]
[ro.mtk_gemini_support]: [1]
[ro.mtk_gps_support]: [1]
[ro.mtk_lte_support]: [1]
[ro.mtk_oma_drm_support]: [1]
[ro.mtk_omacp_support]: [1]
[ro.mtk_perf_fast_start_win]: [1]
[ro.mtk_perf_response_time]: [1]
[ro.mtk_perf_simple_start_win]: [1]
[ro.mtk_widevine_drm_l3_support]: [1]
[ro.opengles.version]: [196608]
[ro.product.board]: [mt6737m]
[ro.product.brand]: [meizu]
[ro.product.cpu.abi]: [arm64-v8a]
[ro.product.cpu.abi2]: [armeabi]
[ro.product.cpu.abilist]: [arm64-v8a,armeabi,armeabi-v7a,armeabi]
[ro.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist64]: [arm64-v8a,armeabi]
[ro.product.device]: [m5c]
[ro.product.flyme.model]: [m1710]
[ro.product.locale]: [en-US]
[ro.product.manufacturer]: [Meizu]
[ro.product.model]: [m5c]
[ro.product.name]: [lineage_m5c]
[ro.recovery_id]: [0x7722bd496513ceb04a1aba4602674b78f207a31d000000000000000000000000]
[ro.revision]: [0]
[ro.runtime.firstboot]: [1786963513924]
[ro.secure]: [0]
[ro.serialno]: [710HVBR923RYK]
[ro.sf.lcd_density]: [320]
[ro.storage_manager.enabled]: [true]
[ro.sys.usb.bicr]: [no]
[ro.sys.usb.charging.only]: [yes]
[ro.sys.usb.mtp.whql.enable]: [0]
[ro.sys.usb.storage.type]: [mtp]
[ro.telephony.default_network]: [20,20]
[ro.telephony.ril.config]: [fakeiccid]
[ro.telephony.ril_class]: [MT6735]
[ro.telephony.sim.count]: [2]
[ro.vold.umsdirtyratio]: [20]
[ro.wifi.channels]: []
[ro.wlan.mtk.wifi.5g]: [0]
[ro.zygote]: [zygote64_32]
[ro.zygote.preload.enable]: [0]
[security.perf_harden]: [1]
[selinux.reload_policy]: [1]
[service.bootanim.exit]: [1]
[service.nvram_init]: [Ready]
[service.wcn.driver.ready]: [yes]
[sys.boot_completed]: [1]
[sys.cm_settings_secure_version]: [1]
[sys.ipo.pwrdncap]: [2]
[sys.logbootcomplete]: [1]
[sys.sysctl.extra_free_kbytes]: [10800]
[sys.usb.config]: [adb]
[sys.usb.configfs]: [0]
[sys.usb.state]: [adb]
[vold.decrypt]: [trigger_restart_framework]
[vold.encryption.type]: [default]
[vold.has_adoptable]: [1]
[vold.post_fs_data_done]: [1]
[wifi.direct.interface]: [p2p0]
[wifi.interface]: [wlan0]
[wifi.supplicant_scan_interval]: [180]
[wifi.tethering.interface]: [wlan0]
[wlan.driver.status]: [ok]
